Text,Summary
تعد السياحة سفر الانسان داخل خارج دولته بهدف غير مادي فاذا تنقل داخل دولته سميت سياحة داخلية قصد دولة سميت سياحة خارجية والسائح غادر مكان اقامته ليقيم ليلة الأقل حتي يستمتع بأوقات تغير روتين حياته والسياحة نشاطا جديدا أوجده الانسان عرف البشر التنقل الأقدام الدواب عصور الميلاد تبعتها حركة نشطة للسياحة العصور الوسطي بسبب صناعة وسائل نقل أسرع وأسهل كالسفن والسكك الحديدية اشتهر الكثير الرحالين كابن بطوطة وكريستوفر كولومبوس اكتشف قارة أمريكا رحلاته ظهر مصطلح سائح لأول مرة انجلترا القرن الثامن عشر العصور الحديثة نشطت السياحة بجميع أشكالها وظهرت الطائرات لتقطع بالانسان قارات ومحيطات حتي يصل لمقصده5 4تتأثر السياحة بالعديد العوامل تقويها تضعفها العوامل الطبيعية والعوامل الاجتماعية والعوامل الاقتصادية العوامل الطبيعية المناخ السائد المنطقة يجذب السياح معتدلا تكون المنطقة مصيفا مشتي العناصر الطبيعية الأخري المؤثرة السياحة طبوغرافية الأرض تعتمد سهول الدولة جبالها حتي تحدد أماكن الخدمات السياحية فنادق ومطارات وأهم عنصر طبيعي يقوي السياحة عناصر البيئة الطبيعية التاريخية الحضارية تشكل عنصر الجذب الرئيسي للسياح العوامل الاجتماعية فتتمثل بأماكن السياحة الدينية واللغة السائدة فالدول تتحدث بالانجليزية مثلا تستقطب السياح أكثر لغة عالمية يسهل التواصل وتشمل العوامل الاقتصادية قدرة الدولة بناء مرافق عالية الجودة للسياح وقدرة المواطنين المادية للانفاق السفر,toursim
تتعدد فوائد وأهمية السياحة الكثير المجالات أبرز الفوائد,toursim
تعتبر مصدر هام للدخل القومي خاصة الدول النامية تعتمد السياحة للحصول العملات الصعبة,toursim
تساعد القضاء بشكل كبير البطالة توفر الكثير فرص العمل يحتاجها الشباب المجالات والقطاعات المختلفة,toursim
تساعد السياحة التقريب الشعوب تتيح الامكانية للتعرف الثقافات والحضارات المختلفة,toursim
تساعد السياحة التخلص الضغوطات والعقد النفسية تسببها مشاكل العمل اليومية,toursim
تعتبر السياحة الأدوات التسويقية لمنتاجات وصناعات الدولة رؤية السائحين وشرائهم لمنتاجات الدول يقومون بزيارتها ويساعد زيادة الدخل والناتج القومي,toursim
تعرف السياحة أنواع السفر والاقامة للناس وتمثل انتقال الأفراد خارج حدود الدولة ينتمون أكثر أربع وعشرين ساعة وأقل سنة واحدة ويجب الهدف السياحة الاقامة الدائمة الدراسة العمل مجرد المرور دولة والسائح شخص متفرغ بشكل مؤقت ويزور مكانا بعيدا موطنه لأهداف مختلفة,toursim
تمثل السياحة الثقافية وكذا السياحة الاثرية اقدم انواع السياحة مصر  وذلك لان مصر تمتلك ثلث اثار العالم تمتلك مصر الحضارات القديمة الحضارة الفرعونية واليونانية والاغريقية  بدأت االسياحة الثقافية بداية فك رموز اللغة الفرعونية تجذب مصر يهتم بمشاهدة المعالم الاثرية العالم  المناطق الحضارية مصر  الجيزة توجد الاهرامات وابو الهول  ومنطقة وادي مراري حلوان وكذلك مدينه اسوان يوجد الكثير المعابد   شرم الشيخ والغرقة ونويبع ورأس سدر والعريش,toursim
لسياحة عبارة نشاط يقوم مجموعات مختلفة يعرفوا بالسياح مكان اخر يعرف بالمعلم السياحي ويتم الذهاب المعلم طريق وسائل النقل المتاحة كالسيارت والحافلات والسفن والطائرات والقطارات وتنقسم السياحة نوعين سياحة داخلية زيارة الأماكن السياحية داخل البلد يقطن الشخص سياحة خارجية وتعني زيارة أماكن سياحية خارج البلد يعيش,toursim
للسياحة اهمية مصر  مصدر للدخل القومي ولذلك تقدم الحلول لكثير المشاكل الحياتية  كحل لمشكلة الاقتصاد  فالسياحة تدر عائد الدولة وتوفر العمله الصعبة وبالتالي يتحسن الاقتصاد المصري وكذا حل لمشاكل البطالة  باتاحة فرص عمل للشباب,toursim
انعم الله مصر بمناخ معتدل طوال العام طبيعة خلابة  يتيح للوفود السياح بزيارة مصر والاستمتاع بجوها الجميل والمناظر الطبيعية الخلابة  علاوة وجود الاثار الفرعونية الاهرامات الجيزة ومعبد الكرنك الاقصر وغيرها الاثار الخالدة الاف السنين  ودقة صنعها تبهر السياح مكان,toursim
وانواع السياحة مصر تقتصر واحد تتعدد  فهناك سياحة فرعونية كالاثار الفرعونية الجيزة وصعيد مصر وهناك سياحةدينية كالمعالم الاسلامية القديمة والحديثة جامع عمرو بن العاص وجامع الازهر الشريف والكنائس الكنيسة المعلقة سياحة علاجية للاستشفاء مياه البحر الاحمر الغردقة,toursim
يأتي السائج مصر لزيارة المناطق الاثار الاسلامية والمسيحية  وتمتلك مصر اعظم المساجد والقلاع والكنائس العالم  المساجد مصر  مسجد عمرو بن العاص مسجد السيدة زينب  مسجد الحسين  جامع الازهر  مسجد السلطان حسن  الاثار القبطية الموجودة مصر  كنيسة السية العذراء  الكنيسة المعلقة  كنيسة ماري جرجس  دير سانت كاترين  وكذلك القلاع الموجودة بمصر  قلعة قايدباي قلعة صلاح الدين الايوبي قلعة الجندي,toursim
تعتبر السياحة مصر مصادر الدخل القومي تمثل السياحة مصر نسبة “ربع ” الدخل القومي مصر  يدخل السائح لمصر العملات الدولية والعالمية المهمة الدولار واليورو  وكذلك تمثل السياحة مصدر رزق لفئة كبيرة فئات المجتمع المصري يشتغل عدد افراد المجتمع المصري بالسياحة وتعتبر السياحة مصدر رزقه  المنتجات المصرية يقوم بشرائها السائح تخدم فئة فئات المجتمع مصر  تعمل الدولة دعم السياحة وتمدها بالدعم المادي  وتعمل الاعلان السياحة مصر لكي تنشط السياحة مصر,toursim
تعتبر السياحة الظواهر القديمة مارستها الشعوب قديما السياحة مقتصرة اماكن محددة اقتصر أداؤها شريحة المستكشفين والرحالة اضافة طبقة الأغنياء والحكام والتجار عرف الفينيقيين ممارستهم للسياحة رحلات التجارة والاستكشاف قاموا حوض البحر المتوسط والبحر الاحمر وكذلك منطقة غرب افريقيا الرومان واليونان وصلوا مناطق عديدة أفريقيا وأوروبا واسيا وشاركوا الألعاب الألومبية اضافة المهرجانات الفنية والدينية والثقافية شكلت كلها مراكزا للجذب السياحي للعرب والمسلمين دور ممارسة السياحة وذلك الحالة العرب والمسلمين وفئة التجار وصلوا العديد المناطق بدءا الصين الشرق وصولا المحيط الأطلسي الغرب وكذلك وصلوا وسط اسيا وأفريقيا وأوروبا عرفنا الرحلات وصفه الرحالة والتجار لتلك المناطق زاروها الكتب ألفوها تعد واحدة المراجع السياحية يومنا ومنها كتاب تحفة النظار غرائب الأمصار وعجائب الاسفار للرحالة الشهير ابن بطوطة,toursim
ناك الكثير الأشخاص يمتلكون أجسادا لديها سمنه مفرطة وتتراكم الدهون الكبد الكلي وتتسبب الدهون وجود أمراضا مزمنة خطيرة أمراض القلب والسكر وأمراض الكوليسترول وذلك يرجع لتناول الأطعمة تحتوي كربوهيدرات دهون نشويات بشكلا هيستيريا تناول الأطعمة الخارج يكن احتوائها الأمراض أكثر عرضه الأكل يتم تناوله المنزل فالرياضة أهم يميزها يتعود وجودها حياته تجعله يقوم بتناول الأطعمة ستشجعه يقوم باضاعة بذله يقوم بجعل جسده مليئا بالعضلات وسيفكر يتناول نوعا الأطعمة الحلويات يعرف جيدا ستضر صحته أكثر شخصا أخر فسيقوم بوضع حمية غذائية لنفسه يسير بشكلا مستمرا يجعل معدته تتحمل الأطعمة وترفضها تناولها فالرياضة بذلك الشكل فوائد كثيرة ينصح الأشخاص يريدون يقومون بعمل دايت رجيم تظهر بوادر لانقاص الوزن عندما يقوم الشخص بممارسة الرياضة فهي ستقوم بشد الجسم الترهلات وستشجع الجميع الأستمرار سيجد نفسه فترة يستطيع يسير بدون يشعر يستطيع يلتقط أنفاسه حركته أصبحت سريعة وزنه مثاليا والأهم توجد ترهلات جسده تجعله يشعر بالحرج عندما يقوم بارتداء ملابس ملفتة,sports
ولا تنحصر أهمية الرياضة الجانب الجسدي بينت الدراسات الرياضة تأثير ايجابي تحسين أعراض الأمراض النفسية كالفصام يتمثل بمشاعر الغضب والكراهية والشعور بالذنب والثبات الوضعي وتأخر الحركة6  وتتخذ الرياضة العديد الأشكال تكون رياضة ساكنة كرفع الأثقال والتزلج الماء حركية كالمشي والركض والتجديف وركوب الخيل والدراجات والسباحة فالسباحة نشاط ترفيهي تنافسي العديد الفوائد لجسم الانسان وأكثر الأشكال الرياضية شيوعا المشي يتخذ شكل نشاط يومي اعتيادي مسابقة تنافسية وتشجع منظمات الصحة محاولة قضاء المهام اليومية مشيا استخدام السيارة والحافلات والرياضة الحركية تحرك أكبر عدد العضلات الجسم وتنشط الدورة الدموية لحاجة الجسم الحركة للأكسجين,sports
"تعد الرياضة أشهر الأنشطة يمارسها الانسان حياته فالانسان كائن حركي ولا يكتفي بالأنشطة الحياتية الحركية التقليدية يحتاج لأنشطة تجعله يفرغ طاقاته ويشعره بالانجاز والمتعة يلجأ الكثيرون لممارسة الأنشطة الرياضية المختلفة فتجد مباراة لكرة القدم وأخري لكرة السلة يجتمع الأشخاص لعمل التمارين الرياضية المراكز الرياضية وغيرها الأمثلة الانسان طاقة بلا حدود وروح تتوق للانجاز والابداع وخلق المتعة السبل أمرنا الصحابي الجليل عمر بن الخطاب بممارسة الرياضة الصغر فقال ""علموا أولادكم السباحة والرماية ومروهم فليثبوا الخيل وثبا""",sports
قامت الدولة بعلو مكانة المرأة أشكال الرياضة فوجدنا سيداتا حصلت مدالية ذهبية فضية التنافس دول نفس الرياضة اللاعبة نور الشربيني لاعبة الأسكواش حصلت بطولة انجلترا العالمية تعد لاعبة مصرية تحصل وهناك أيضا مثالا يحتذي اللاعب أحمد براده وغيره المتألقين الأخرين جعلوا اسم بلدهم يصل عنان السماء ويرفع علم مصر الخارج اذن فالرياضة تعتبر أسمي الأشياء يبرع الأنسان تهتم الدولة بشئون اللاعبين لكرة الفدم جعلهم يصلون كأس العالم سيتم انشاء منافسة عالمية ودولية عام 2018 يظهر دور الدولة السير قدما العالمية ويبين الدور الفعال تحققه الرياضة نكن أكثر احترافيا مثلنا اللاعبين الدول الأخري,sports
يستفيد الأطفال هم سن المراهقة ممارسة الرياضة تكسبهم البنية السليمة وتنظيم حياتهم وقدرتهم ممارسة نشاط بدني حياتهم وتثبت التجارب العملية الرياضة تعود بالنفع الشخص الراياضي وذلك بلعب دور هام وكبير رسم خط حياته ايجابيا الفوائد العملية والحياتية يلي٣ تفوق الرياضي أكاديميا اكساب مهارة ايجاد الحلول والعمل بروح الفريق الواحد المحافظة مستوي صحة عالي للشخص الرياضي تعزيز احترام الذات الرياضي  التقليل حجم ضغوطات الحياه ومشاكلها,sports
تعتبر ممارسة الرياضة أهم الأشياء يوصي الأطباء ويدعون لممارستها يوميا تمثل الركيزة الأساسية لصحة الجسم البدنية ولياقته فالشخص يمارس الرياضة يتمتع عادة ببنية قوية ورشاقة ينعكس جميع أجهزة الجسم استثناء تقدمه الرياضة فوائد كثيرة الحياة اليومية فهي المحرك الأساسي للعضلات والداعم الرئيسي لقوة الهيكل العظمي ككل جزء بسيط أهمية الرياضة حياتنا,sports
أهم فوائد الرياضة تقوي بنية الجسم وتجعله يتمتع برشاقة وحيوية دائمة وتخلصه الوزن الزائد تزود الجسم بكميات اضافية الأكسجين ينعكس ايجابا صحة أعضاء الجسم بشكل عام وخصوصا القلب والأوعية الدموية والرئتين فهي تنعش القلب وتحافظ صحته وتساعد التخلص الكوليسترول الضار والدهون المشبعة تسبب انسداد الشرايين تحافظ صحة الدماغ وتسمح بايصال كميات أكبر الغذاء والأكسجين تنشط الدورة الدموية,sports
أكثر تقدمه الرياضة لنا بأنها تخلص الجسم الطاقة السلبية وتساعد اعادة شحنه بالطاقة الايجابية وتجعله أكثر حيوية واندفاعا تساعد استرخاء الجسم وشعوره بالراحة وتحسن الحالة النفسية للفرد يزيد انتاجيته وبالاضافة فانها تساهم انتاج هرمونات السعادة هرمون السيراتونين وهرمون الأوكسايتوسين كله يمثل تغذية للعقل والنفس والروح,sports
وبالاضافة فانها تساهم التعرف الكثير الأشخاص وتتيح لمن يمارسها يتصرف الاخرين ايجابية,sports
يجب تكون ممارسة الرياضة الأشياء الروتينية تحدث بشكل تلقائي ويومي حياة الفرد مجرد ممارسة للهوايات مضيعة للوقت مجرد نشاط عابر لكسر الملل الرياضة ضرورة ملحة يجب الجميع رجالا ونسا وكبارا وصغارا ممارستها تكون أجسامهم أكثر قوة وكي ينعمون بروح التفاؤل والمرح خصوصا الرياضة الطير يحلق بك فضاءات واسعة وتهديك أروع الحصول فهي باختصار أسلوب مبني الفن والمهارة والاتقان ولم تكن يوما عبئا ممارسيها,sports
تعرف الرياضة بأنها مجهود جسدي مهارة يتم ممارستها وفقا لمجموعة القواعد المتفق لأهداف متنوعة كالترفيه المتعة التميز المنافسة زيادة الثقة بالنفس تطوير المهارات والاختلاف الأهداف يميز الرياضات بعضها يضيف التأثير يتركه اللاعبون الفرق الرياضية مزيدا التميز تساعد الرياضة تعرف بالتربية البدنية تنمية الفرد نواح عديدة فتجعله أكثر تكيفا النواحي العقلية والوجدانية والجسدية والاجتماعية وذلك خلال ممارسته للأنشطة البدنية بشكل يتناسب عمره ونمو جسده سيما تمت ممارستها اشراف مدربين متميزين نشأة الرياضة وجدت الكثير الاثار تدل ممارسة المصريين القدماء لأنواع مختلفة الرياضة كالرقص والمصارعة عدت الرياضات الوقت عاملا مهما لتدريب المحاربين والمقاتلين توجد الكثير الصور واللوحات ظهر فراعنة يصيدون الأسود والغزلان باستخدام القوس خلال ركوبهم للعربات الحربية,sports
تنبع أهمية الرياضة حياتنا أمور عدة نذكر الرياضة التعبير الحياة والنشاط والحيوية فالانسان يمارس الرياضة حياته الانسان الأقدر التعبير روح الحياة تتسم بالحركة والديناميكية الانسان بممارسته للرياضة يحقق مقاصد الحياة وأهدافها تتطلب بذل الجهد والنشاط الرياضة وسيلة الحصول جسد سليم معافي وسيلة للتخلص الأمراض فالانسان يمارس الرياضة يستطيع الوصول جسم متناسق قوي بممارسة الرياضة يستطيع وقاية جسده الأمراض وعلي رأسها مرض السمنة سببا أمراض السكري والانزلاق الغضروفي وبالتالي الانسان يحرص الرياضة لما فوائد جمة لصحة الجسم تعزز الرياضة الجوانب الايجابية نفس يمارسها تبعد الجوانب السلبية أثبتت كثير الدراسات دور ممارسة الرياضة تحسين الصحة النفسية للانسان وتعزيز الروح الايجابية لديه الانسان أثناء ممارسته للرياضة يفرز هرمونات معينة تبعث الراحة والسعادة تعد الرياضة أسلوبا لبناء العلاقات الاجتماعية البناءة الناس وتعزيز معاني المودة والألفة بينهم فكثير الرياضات تمارس بشكل جماعي رياضة كرة القدم وكرة السلة وغيرها وهذه الرياضات تتطلب الانسان الاجتماع غيره الفريق وبالتالي يبني الانسان علاقات اجتماعية معهم يعزز الجانب الايجابي الانسان يقوي شخصيته ويمنحه الثقة,sports
الرياضة أهم العادات السليمة يجب يمارسها الأنسان حياته مجرد شيئا يقوم بالاهتمام يقدم السعادة لوقتا معينا فالرياضة مثلها حب الرسم النحت التعلم الألات الموسيقية للأنسان يقوم بتنميتها مثلها هواية فكانت ممارسة الرياضة سببا كبيرا تغيير الكثير الأشخاص للتعرف أنفسهم بشكلا مختلفا فالجسم الرياضي مميزاته يكفي بأنه يتمتع بصحة سليمة خالية سموما تعمل الرياضة طرد السموم الجسم فوائد تعود الفرد ممارسة الرياضة تنقي الجسم الفيروسات والأمراض كأمراض الكوليسترول تتسبب الدهون المتراكمة ينعكس وضعف القدرة المشي الجري الحركة تنقي العقل أيضا وذلك يظهر جيدا الشخص يعود جسده ممارسة الرياضة يقوم بفعل شيئا سيئا خوفا يفقد جسده الشكل الرائع الملفت للنظر حصل فلن يقوم بالأقبال شرب المخدرات التدخين يستطيع يمارس هوايته المحببه الرياضة,sports

